"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"41606.7155328";"Altitude (GPS)";"9.61004638671875";"m";"-22.58917249";"-43.28517442";
"41606.7155328";"Velocidade (GPS)";"1.1160000085830688";"km/h";"-22.58917249";"-43.28517442";
"41607.9527192";"Altitude (GPS)";"5.096710205078125";"m";"-22.5891141";"-43.28516046";
"41607.9527192";"Velocidade (GPS)";"2.5559999227523806";"km/h";"-22.5891141";"-43.28516046";
"41607.9527192";"Velocidade média (GPS)";"2.5559999227523806";"km/h";"-22.5891141";"-43.28516046";
"41609.1904231";"Altitude (GPS)";"6.168975830078125";"m";"-22.58912213";"-43.28518637";
"41609.1904231";"Velocidade (GPS)";"5.939999914169312";"km/h";"-22.58912213";"-43.28518637";
"41609.1904231";"Velocidade média (GPS)";"4.248771762891303";"km/h";"-22.58912213";"-43.28518637";
"41610.4296645";"Altitude (GPS)";"10.080474853515625";"m";"-22.58911718";"-43.28522679";
"41610.4296645";"Velocidade (GPS)";"13.248000240325927";"km/h";"-22.58911718";"-43.28522679";
"41610.4296645";"Velocidade média (GPS)";"7.25191691019539";"km/h";"-22.58911718";"-43.28522679";
"41611.6846381";"Altitude (GPS)";"11.4249267578125";"m";"-22.58912197";"-43.28527228";
"41611.6846381";"Velocidade (GPS)";"17.1";"km/h";"-22.58912197";"-43.28527228";
"41611.6846381";"Velocidade média (GPS)";"9.739854078828815";"km/h";"-22.58912197";"-43.28527228";
"41612.9410052";"Altitude (GPS)";"12.56390380859375";"m";"-22.58914759";"-43.28531937";
"41612.9410052";"Velocidade (GPS)";"18.647999382019044";"km/h";"-22.58914759";"-43.28531937";
"41612.9410052";"Velocidade média (GPS)";"11.537353794031024";"km/h";"-22.58914759";"-43.28531937";
"41614.1898593";"Altitude (GPS)";"11.522735595703125";"m";"-22.5891634";"-43.28538482";
"41614.1898593";"Velocidade (GPS)";"19.87199993133545";"km/h";"-22.5891634";"-43.28538482";
"41614.1898593";"Velocidade média (GPS)";"12.930068724080416";"km/h";"-22.5891634";"-43.28538482";
"41615.4375241";"Altitude (GPS)";"12.2933349609375";"m";"-22.58917037";"-43.28546778";
"41615.4375241";"Velocidade (GPS)";"24.119999313354494";"km/h";"-22.58917037";"-43.28546778";
"41615.4375241";"Velocidade média (GPS)";"14.53087926674765";"km/h";"-22.58917037";"-43.28546778";
"41616.6816506";"Altitude (GPS)";"13.42034912109375";"m";"-22.58918689";"-43.28556011";
"41616.6816506";"Velocidade (GPS)";"26.531999588012695";"km/h";"-22.58918689";"-43.28556011";
"41616.6816506";"Velocidade média (GPS)";"16.02912636662026";"km/h";"-22.58918689";"-43.28556011";
"41617.9259509";"Altitude (GPS)";"13.3267822265625";"m";"-22.58919761";"-43.28565061";
"41617.9259509";"Velocidade (GPS)";"29.7";"km/h";"-22.58919761";"-43.28565061";
"41617.9259509";"Velocidade média (GPS)";"17.546616716770274";"km/h";"-22.58919761";"-43.28565061";
"41619.1640683";"Altitude (GPS)";"13.82037353515625";"m";"-22.58919156";"-43.28574249";
"41619.1640683";"Velocidade (GPS)";"29.916001510620116";"km/h";"-22.58919156";"-43.28574249";
"41619.1640683";"Velocidade média (GPS)";"18.776921601525874";"km/h";"-22.58919156";"-43.28574249";
"41620.4460835";"Altitude (GPS)";"14.6212158203125";"m";"-22.58914998";"-43.28584938";
"41620.4460835";"Velocidade (GPS)";"31.212000274658205";"km/h";"-22.58914998";"-43.28584938";
"41620.4460835";"Velocidade média (GPS)";"19.93802378227609";"km/h";"-22.58914998";"-43.28584938";
"41621.6962896";"Altitude (GPS)";"14.5484619140625";"m";"-22.58909948";"-43.28594178";
"41621.6962896";"Velocidade (GPS)";"32.2560001373291";"km/h";"-22.58909948";"-43.28594178";
"41621.6962896";"Velocidade média (GPS)";"20.966056527091414";"km/h";"-22.58909948";"-43.28594178";
"41622.9533158";"Altitude (GPS)";"15.32562255859375";"m";"-22.58902658";"-43.28602583";
"41622.9533158";"Velocidade (GPS)";"32.327998352050784";"km/h";"-22.58902658";"-43.28602583";
"41622.9533158";"Velocidade média (GPS)";"21.845659297487945";"km/h";"-22.58902658";"-43.28602583";
"41624.2069309";"Altitude (GPS)";"15.01904296875";"m";"-22.58894087";"-43.28608564";
"41624.2069309";"Velocidade (GPS)";"33.1560001373291";"km/h";"-22.58894087";"-43.28608564";
"41624.2069309";"Velocidade média (GPS)";"22.656304224407542";"km/h";"-22.58894087";"-43.28608564";
"41625.4620302";"Altitude (GPS)";"16.27899169921875";"m";"-22.58884166";"-43.28611839";
"41625.4620302";"Velocidade (GPS)";"31.860001373291016";"km/h";"-22.58884166";"-43.28611839";
"41625.4620302";"Velocidade média (GPS)";"23.272521067546144";"km/h";"-22.58884166";"-43.28611839";
"41626.7287733";"Altitude (GPS)";"17.44097900390625";"m";"-22.5887407";"-43.28611523";
"41626.7287733";"Velocidade (GPS)";"31.427998352050782";"km/h";"-22.5887407";"-43.28611523";
"41626.7287733";"Velocidade média (GPS)";"23.788738712226";"km/h";"-22.5887407";"-43.28611523";
"41627.9702533";"Altitude (GPS)";"17.7877197265625";"m";"-22.58864147";"-43.28609629";
"41627.9702533";"Velocidade (GPS)";"32.0759994506836";"km/h";"-22.58864147";"-43.28609629";
"41627.9702533";"Velocidade média (GPS)";"24.272806520419582";"km/h";"-22.58864147";"-43.28609629";
"41629.2398729";"Altitude (GPS)";"17.0711669921875";"m";"-22.5885474";"-43.28606343";
"41629.2398729";"Velocidade (GPS)";"32.43600082397461";"km/h";"-22.5885474";"-43.28606343";
"41629.2398729";"Velocidade média (GPS)";"24.73294960752649";"km/h";"-22.5885474";"-43.28606343";
"41630.4843355";"Altitude (GPS)";"18.4561767578125";"m";"-22.58845587";"-43.28600711";
"41630.4843355";"Velocidade (GPS)";"33.51600151062012";"km/h";"-22.58845587";"-43.28600711";
"41630.4843355";"Velocidade média (GPS)";"25.192818073127395";"km/h";"-22.58845587";"-43.28600711";
"41631.7295889";"Altitude (GPS)";"18.20587158203125";"m";"-22.58836204";"-43.28595704";
