"SECONDS";"PID";"VALUE";"UNITS";
"39193.1824863";"Voltagem do modulo OBD";"13.9";"V";
"39193.4724098";"Valor da carga calculada do motor";"24.313725490196077";"%";
"39193.5560772";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";
"39193.643717";"Ajuste de combustível % a curto 
prazo - Banco 1";"-4.6875";"%";
"39193.7349689";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39193.8253989";"Boost calculado";"-0.52325";"bar";
"39193.8253989";"Pressão absoluta do coletor de 
admissão";"49";"kPa";
"39193.9115342";"Consumo instantâneo de combustível (l/h)";"1.424318796354262";"L/h";
"39193.9115342";"Potência instantânea do motor (baseado no consumo de combustível)";"5.572217006862839";"hp";
"39193.9115342";"RPM do motor";"655";"rpm";
"39193.9115342";"RPM do motor x1000";"0.7";"rpm";
"39193.9711092";"Voltagem do modulo OBD";"14";"V";
"39194.2293339";"Valor da carga calculada do motor";"24.313725490196077";"%";
"39194.3203449";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";
"39194.41225";"Ajuste de combustível % a curto 
prazo - Banco 1";"-5.46875";"%";
"39194.4918898";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39194.5959813";"Temperatura do ar de admissão";"45";"℃";
"39194.6476908";"Voltagem do modulo OBD";"14";"V";
"39194.9114253";"Valor da carga calculada do motor";"24.313725490196077";"%";
"39194.9999521";"Ajuste de combustível % a curto 
prazo - Banco 1";"-3.90625";"%";
"39195.0879013";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39195.1534444";"Voltagem do modulo OBD";"14";"V";
"39195.3199482";"Valor da carga calculada do motor";"24.705882352941178";"%";
"39195.4058285";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";
"39195.4604218";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";
"39195.5269162";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39195.5806418";"Voltagem do modulo OBD";"13.8";"V";
"39195.7478154";"Valor da carga calculada do motor";"24.313725490196077";"%";
"39195.8127706";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";
"39195.8755102";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39195.928494";"Voltagem do modulo OBD";"13.9";"V";
"39196.0991709";"Valor da carga calculada do motor";"24.313725490196077";"%";
"39196.1508579";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";
"39196.2167738";"Ajuste de combustível % a curto 
prazo - Banco 1";"-3.90625";"%";
"39196.2722";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39196.3243414";"Voltagem do modulo OBD";"13.9";"V";
"39196.4926588";"Valor da carga calculada do motor";"23.92156862745098";"%";
"39196.5557897";"Ajuste de combustível % a curto 
prazo - Banco 1";"-3.125";"%";
"39196.6083097";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39196.6721089";"Voltagem do modulo OBD";"13.8";"V";
"39196.8388908";"Valor da carga calculada do motor";"23.92156862745098";"%";
"39196.9041731";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";
"39196.9553407";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";
"39197.0073365";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39197.0725113";"Voltagem do modulo OBD";"13.8";"V";
"39197.255631";"Valor da carga calculada do motor";"23.92156862745098";"%";
"39197.305716";"Ajuste de combustível % a curto 
prazo - Banco 1";"-1.5625";"%";
"39197.3714652";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39197.4244259";"Voltagem do modulo OBD";"14";"V";
"39197.5963969";"Valor da carga calculada do motor";"23.92156862745098";"%";
"39197.6591482";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";
"39197.7124416";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";
"39197.7662727";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39197.8200664";"Voltagem do modulo OBD";"14";"V";
"39198.0033996";"Valor da carga calculada do motor";"23.92156862745098";"%";
"39198.0559575";"Ajuste de combustível % a curto 
prazo - Banco 1";"-3.125";"%";
"39198.1203262";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39198.1855432";"Voltagem do modulo OBD";"13.9";"V";
"39198.3457947";"Valor da carga calculada do motor";"23.137254901960784";"%";
"39198.4130607";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";
"39198.4627017";"Ajuste de combustível % a curto 
prazo - Banco 1";"0";"%";
"39198.5171233";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39198.5718155";"Voltagem do modulo OBD";"13.9";"V";
"39198.7515351";"Valor da carga calculada do motor";"21.568627450980394";"%";
"39198.8036309";"Ajuste de combustível % a curto 
prazo - Banco 1";"1.5625";"%";
"39198.855222";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39198.9202332";"Voltagem do modulo OBD";"13.5";"V";
"39199.0789695";"Valor da carga calculada do motor";"36.470588235294116";"%";
"39199.1442297";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";
"39199.1963398";"Ajuste de combustível % a curto 
prazo - Banco 1";"2.34375";"%";
"39199.248134";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39199.3170282";"Voltagem do modulo OBD";"13.8";"V";
"39199.483304";"Valor da carga calculada do motor";"37.64705882352941";"%";
"39199.5352019";"Ajuste de combustível % a curto 
prazo - Banco 1";"0";"%";
"39199.5990001";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39199.6527352";"Voltagem do modulo OBD";"13.9";"V";
"39199.8204452";"Valor da carga calculada do motor";"34.509803921568626";"%";
"39199.883107";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";
"39199.9304038";"Ajuste de combustível % a curto 
prazo - Banco 1";"-1.5625";"%";
"39199.9859448";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39200.0980359";"Voltagem do modulo OBD";"14";"V";
"39200.2307978";"Valor da carga calculada do motor";"30.58823529411765";"%";
"39200.2995857";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";
"39200.3497112";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39200.4105666";"Voltagem do modulo OBD";"13.9";"V";
"39200.5777285";"Valor da carga calculada do motor";"29.80392156862745";"%";
"39200.630995";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";
"39200.6826511";"Ajuste de combustível % a curto 
prazo - Banco 1";"-3.90625";"%";
"39200.7226353";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39200.7758842";"Voltagem do modulo OBD";"13.9";"V";
"39200.9623713";"Valor da carga calculada do motor";"29.019607843137255";"%";
"39201.0259922";"Ajuste de combustível % a curto 
prazo - Banco 1";"-4.6875";"%";
"39201.0779719";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39201.1402352";"Voltagem do modulo OBD";"14";"V";
"39201.3104613";"Valor da carga calculada do motor";"29.019607843137255";"%";
"39201.3704379";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";
"39201.4226191";"Ajuste de combustível % a curto 
prazo - Banco 1";"-5.46875";"%";
"39201.474938";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39201.5382432";"Voltagem do modulo OBD";"13.7";"V";
"39201.708163";"Valor da carga calculada do motor";"28.627450980392158";"%";
"39201.7598969";"Ajuste de combustível % a curto 
prazo - Banco 1";"-6.25";"%";
"39201.8148773";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39201.8677097";"Voltagem do modulo OBD";"13.8";"V";
"39202.039294";"Valor da carga calculada do motor";"31.372549019607842";"%";
"39202.0909322";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";
"39202.153746";"Ajuste de combustível % a curto 
prazo - Banco 1";"-6.25";"%";
"39202.2143457";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39202.2841061";"Voltagem do modulo OBD";"13.7";"V";
"39202.4429084";"Valor da carga calculada do motor";"30.19607843137255";"%";
"39202.4936827";"Ajuste de combustível % a curto 
prazo - Banco 1";"-6.25";"%";
"39202.559502";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";
"39202.6129431";"Voltagem do modulo OBD";"13.8";"V";
"39202.8216298";"Valor da carga calculada do motor";"29.41176470588235";"%";
"39202.9180193";"Ajuste de longo prazo do sensor de oxigênio secundário Bank 1";"0";"%";
"39203.0280406";"Velocidade do veículo";"5";"km/h";
"39203.1201211";"Boost calculado";"-0.45325000000000004";"bar";
"39203.1201211";"Pressão absoluta do coletor de 
admissão";"56";"kPa";
"39203.2332543";"Relação equivalente comandada de Comb./Ar";"14.63156736";"";
"39203.3995442";"Economizador de combustível (com base no estado do sistema de combustível e na posição do acelerador)";"1";"";
"39203.3995442";"Posição da borboleta de admissão";"14.117647058823529";"%";
"39203.4964185";"Combustível usado";"0.004975618879958485";"L";
"39203.4964185";"Combustível usado (Hoje)";"0.004976";"L";
"39203.4964185";"Combustível usado (Semana)";"0.004976";"L";
"39203.4964185";"Combustível usado (total)";"0.004976";"L";
"39203.4964185";"Consumo instantâneo de combustível (l/h)";"1.8714053093816159";"L/h";
"39203.4964185";"Potência instantânea do motor (baseado no consumo de combustível)";"7.321307925136719";"hp";
"39203.4964185";"Preço do combustível usado";"0.00502537506875807";"R$";
"39203.4964185";"Preço do combustível usado (Hoje)";"0.005025760000000001";"R$";
