"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"41826.2817076";"Voltagem do modulo OBD";"13.7";"V";"-22.58915039";"-43.28513534";
"41826.5356298";"Valor da carga calculada do motor";"24.705882352941178";"%";"-22.58915039";"-43.28513534";
"41826.6102782";"Temperatura do líquido de 
arrefecimento do motor";"86";"℃";"-22.58915039";"-43.28513534";
"41826.6877845";"Ajuste de combustível % a curto 
prazo - Banco 1";"-10.15625";"%";"-22.58915039";"-43.28513534";
"41826.7635093";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58915039";"-43.28513534";
"41826.8542237";"Boost calculado";"-0.40325000000000005";"bar";"-22.58915015";"-43.28513671";
"41826.8542237";"Pressão absoluta do coletor de 
admissão";"61";"kPa";"-22.58915015";"-43.28513671";
"41826.9422669";"Consumo instantâneo de combustível (l/h)";"1.984866391753855";"L/h";"-22.58915015";"-43.28513671";
"41826.9422669";"Potência instantânea do motor (baseado no consumo de combustível)";"7.765190133550971";"hp";"-22.58915015";"-43.28513671";
"41826.9422669";"RPM do motor";"754";"rpm";"-22.58915015";"-43.28513671";
"41826.9422669";"RPM do motor x1000";"0.8";"rpm";"-22.58915015";"-43.28513671";
"41827.0061609";"Voltagem do modulo OBD";"13.8";"V";"-22.58915015";"-43.28513671";
"41827.2603415";"Valor da carga calculada do motor";"35.294117647058826";"%";"-22.58915015";"-43.28513671";
"41827.3522126";"Temperatura do líquido de 
arrefecimento do motor";"86";"℃";"-22.58915015";"-43.28513671";
"41827.4412278";"Ajuste de combustível % a curto 
prazo - Banco 1";"-12.5";"%";"-22.58915015";"-43.28513671";
"41827.5302515";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58915015";"-43.28513671";
"41827.5956265";"Voltagem do modulo OBD";"13.8";"V";"-22.58915015";"-43.28513671";
"41827.8509199";"Valor da carga calculada do motor";"38.03921568627451";"%";"-22.58915015";"-43.28513671";
"41827.9392655";"Ajuste de combustível % a curto 
prazo - Banco 1";"-7.03125";"%";"-22.58915015";"-43.28513671";
"41828.0288175";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58915015";"-43.28513671";
"41828.0818237";"Voltagem do modulo OBD";"13.8";"V";"-22.58915018";"-43.28513871";
"41828.2577024";"Valor da carga calculada do motor";"36.07843137254902";"%";"-22.58915018";"-43.28513871";
"41828.3347429";"Temperatura do líquido de 
arrefecimento do motor";"86";"℃";"-22.58915018";"-43.28513871";
"41828.397577";"Ajuste de combustível % a curto 
prazo - Banco 1";"-3.125";"%";"-22.58915018";"-43.28513871";
"41828.4541453";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58915018";"-43.28513871";
"41828.5211938";"Voltagem do modulo OBD";"13.9";"V";"-22.58915018";"-43.28513871";
"41828.6874343";"Valor da carga calculada do motor";"33.333333333333336";"%";"-22.58915018";"-43.28513871";
"41828.7391013";"Ajuste de combustível % a curto 
prazo - Banco 1";"0";"%";"-22.58915018";"-43.28513871";
"41828.8143291";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58915018";"-43.28513871";
"41828.866668";"Voltagem do modulo OBD";"13.9";"V";"-22.58915018";"-43.28513871";
"41829.0411556";"Valor da carga calculada do motor";"34.11764705882353";"%";"-22.58915018";"-43.28513871";
"41829.1021313";"Temperatura do líquido de 
arrefecimento do motor";"86";"℃";"-22.58915018";"-43.28513871";
"41829.165301";"Ajuste de combustível % a curto 
prazo - Banco 1";"3.125";"%";"-22.58915018";"-43.28513871";
"41829.2184438";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58915018";"-43.28513871";
"41829.2827206";"Voltagem do modulo OBD";"14";"V";"-22.58915018";"-43.28513871";
"41829.4533077";"Valor da carga calculada do motor";"33.72549019607843";"%";"-22.58915043";"-43.28514176";
"41829.5058918";"Ajuste de combustível % a curto 
prazo - Banco 1";"-3.125";"%";"-22.58915043";"-43.28514176";
"41829.5701397";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58915043";"-43.28514176";
"41829.6136975";"Voltagem do modulo OBD";"14";"V";"-22.58915043";"-43.28514176";
"41829.7687373";"Valor da carga calculada do motor";"32.15686274509804";"%";"-22.58915043";"-43.28514176";
"41829.8286827";"Temperatura do líquido de 
arrefecimento do motor";"86";"℃";"-22.58915043";"-43.28514176";
"41829.8788124";"Ajuste de combustível % a curto 
prazo - Banco 1";"-3.90625";"%";"-22.58915043";"-43.28514176";
"41829.9413168";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58915043";"-43.28514176";
"41829.9906243";"Voltagem do modulo OBD";"13.9";"V";"-22.58915043";"-43.28514176";
"41830.1535846";"Valor da carga calculada do motor";"29.80392156862745";"%";"-22.58915043";"-43.28514176";
"41830.2064233";"Ajuste de combustível % a curto 
prazo - Banco 1";"0";"%";"-22.58915043";"-43.28514176";
"41830.2704992";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58915043";"-43.28514176";
"41830.3268";"Voltagem do modulo OBD";"14";"V";"-22.58915043";"-43.28514176";
"41830.4910687";"Valor da carga calculada do motor";"28.627450980392158";"%";"-22.58915043";"-43.28514176";
"41830.5622406";"Temperatura do líquido de 
arrefecimento do motor";"86";"℃";"-22.58914927";"-43.2851444";
"41830.6143846";"Ajuste de combustível % a curto 
prazo - Banco 1";"4.6875";"%";"-22.58914927";"-43.2851444";
"41830.6663403";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58914927";"-43.2851444";
"41830.718339";"Voltagem do modulo OBD";"14";"V";"-22.58914927";"-43.2851444";
"41830.8863302";"Valor da carga calculada do motor";"35.68627450980392";"%";"-22.58914927";"-43.2851444";
"41830.9496998";"Ajuste de combustível % a curto 
prazo - Banco 1";"0";"%";"-22.58914927";"-43.2851444";
"41831.0029165";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58914927";"-43.2851444";
"41831.0677108";"Voltagem do modulo OBD";"13.8";"V";"-22.58914927";"-43.2851444";
"41831.2338905";"Valor da carga calculada do motor";"30.58823529411765";"%";"-22.58914927";"-43.2851444";
"41831.2874159";"Temperatura do líquido de 
arrefecimento do motor";"85";"℃";"-22.58914927";"-43.2851444";
"41831.3490231";"Ajuste de combustível % a curto 
prazo - Banco 1";"3.125";"%";"-22.58914927";"-43.2851444";
"41831.4137957";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58914927";"-43.2851444";
"41831.4711832";"Voltagem do modulo OBD";"13.8";"V";"-22.58914927";"-43.2851444";
"41831.6491045";"Valor da carga calculada do motor";"16.470588235294116";"%";"-22.58914927";"-43.2851444";
"41831.7008226";"Ajuste de combustível % a curto 
prazo - Banco 1";"6.25";"%";"-22.58914927";"-43.2851444";
"41831.754016";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58914927";"-43.2851444";
"41831.8049997";"Altitude (GPS)";"19.70428466796875";"m";"-22.58915084";"-43.28515556";
"41831.8049997";"Velocidade (GPS)";"17.496000480651855";"km/h";"-22.58915084";"-43.28515556";
"41831.8202336";"Voltagem do modulo OBD";"13.8";"V";"-22.58915084";"-43.28515556";
"41831.9855786";"Valor da carga calculada do motor";"14.901960784313726";"%";"-22.58915084";"-43.28515556";
